index,samples
0,430
1,90
2,19
3,630
4,434
5,512
6,330
7,624
8,267
9,413
10,710
11,325
12,215
13,254
14,66
15,202
16,598
17,396
18,63
19,629
20,319
21,392
22,306
23,654
24,519
25,195
26,113
27,688
28,230
29,161
30,5
31,232
32,517
33,647
34,453
35,500
36,43
37,550
38,247
39,425
40,443
41,451
42,95
43,400
44,671
45,301
46,231
47,125
48,711
49,481
50,257
51,49
52,468
53,81
54,713
55,628
56,696
57,166
58,220
59,597
60,86
61,287
62,625
63,160
64,79
65,620
66,350
67,229
68,69
69,216
70,370
71,238
72,42
73,115
74,114
75,91
76,94
77,583
78,252
79,605
80,255
81,683
82,70
83,200
84,253
85,112
86,329
87,656
88,661
89,146
90,244
91,673
92,358
93,78
94,77
95,438
96,515
97,149
98,192
99,345
100,555
101,46
102,621
103,703
104,385
105,707
106,235
107,189
108,558
109,122
110,58
111,290
112,155
113,667
114,136
115,692
116,288
117,50
118,246
119,237
120,369
121,159
122,518
123,603
124,575
125,699
126,256
127,473
128,258
129,249
130,353
131,580
132,502
133,266
134,408
135,312
136,698
137,138
138,33
139,486
140,59
141,145
142,470
143,693
144,421
145,119
146,554
147,674
148,668
149,504
150,226
151,619
152,233
153,211
154,179
155,687
156,23
157,532
158,534
159,423
160,579
161,241
162,560
163,277
164,608
165,201
166,323
167,263
168,562
169,318
170,153
171,88
172,373
173,222
174,611
175,44
176,275
177,531
178,334
179,347
180,327
181,614
182,701
183,666
184,331
185,410
186,75
187,672
188,30
189,13
190,8
191,535
192,679
193,444
194,130
195,393
196,446
197,403
198,556
199,87
200,461
201,508
202,394
203,178
204,613
205,478
206,623
207,118
208,439
209,328
210,186
211,366
212,27
213,645
214,213
215,702
216,336
217,577
218,570
219,219
220,650
221,590
222,545
223,53
224,420
225,196
226,47
227,412
228,324
229,627
230,527
231,234
232,199
233,183
234,92
235,584
236,163
237,657
238,193
239,700
240,506
241,632
242,391
243,637
244,99
245,286
246,282
247,643
248,172
249,71
250,447
251,217
252,604
253,137
254,600
255,14
256,111
257,553
258,109
259,457
260,55
261,169
262,695
263,248
264,268
265,539
266,680
267,498
268,589
269,573
270,142
271,143
272,289
273,67
274,260
275,177
276,510
277,17
278,76
279,317
280,591
281,574
282,572
283,405
284,691
285,602
286,208
287,89
288,280
289,28
290,384
291,164
292,664
293,480
294,648
295,299
296,214
297,144
298,675
299,326
300,36
301,165
302,188
303,261
304,293
305,652
306,716
307,197
308,469
309,194
310,338
311,606
312,124
313,445
314,501
315,409
316,139
317,374
318,96
319,607
320,581
321,98
322,676
323,505
324,382
325,547
326,522
327,140
328,121
329,538
330,26
331,3
332,314
333,9
334,588
335,141
336,354
337,499
338,548
339,477
340,371
341,85
342,390
343,41
344,513
345,38
346,126
347,585
348,7
349,569
350,442
351,563
352,540
353,272
354,482
355,72
356,402
357,251
358,454
359,105
360,157
361,56
362,456
363,488
364,284
365,21
366,387
367,475
368,307
369,465
370,100
371,677
372,16
373,715
374,708
375,297
376,618
377,663
378,662
379,120
380,206
381,156
382,341
383,294
384,357
385,521
386,295
387,462
388,102
389,427
390,0
391,641
392,128
393,463
394,123
395,279
396,227
397,419
398,61
399,644
400,236
401,638
402,204
403,448
404,104
405,678
406,97
407,497
408,655
409,276
410,543
411,665
412,651
413,626
414,487
415,134
416,269
417,48
418,22
419,129
420,464
421,564
422,82
423,351
424,333
425,380
426,25
427,685
428,228
429,460
430,281
431,568
432,709
433,250
434,520
435,340
436,681
437,635
438,376
439,397
440,417
441,694
442,259
443,218
444,642
445,660
446,684
447,62
448,455
449,184
450,243
451,381
452,490
453,245
454,212
455,544
456,528
457,131
458,424
459,714
460,609
461,634
462,386
463,436
464,52
465,315
466,298
467,416
468,653
469,198
470,101
471,305
472,636
473,180
474,148
475,612
476,187
477,631
478,34
479,355
480,360
481,414
482,640
483,171
484,167
485,415
486,265
487,221
488,127
489,223
490,493
491,170
492,526
493,511
494,578
495,530
496,567
497,431
498,321
499,239
500,24
501,389
502,108
503,181
504,458
505,541
506,182
507,363
508,706
509,12
510,459
511,452
512,601
513,367
514,537
515,398
516,240
517,378
518,45
519,316
520,116
521,273
522,11
523,205
524,377
525,561
526,372
527,10
528,158
529,467
530,524
531,80
532,368
533,302
534,74
535,704
536,311
537,435
538,270
539,365
540,303
541,407
542,433
543,483
544,348
545,507
546,174
547,552
548,690
549,422
550,225
551,339
552,712
553,617
554,296
555,335
556,73
557,190
558,576
559,4
560,51
561,549
562,682
563,485
564,551
565,658
566,84
567,18
568,285
569,107
570,440
571,147
572,308
573,395
574,476
575,557
576,203
577,375
578,705
579,582
580,154
581,594
582,533
583,54
584,313
585,173
586,322
587,29
588,300
589,449
590,399
591,471
592,264
593,15
594,525
595,207
596,362
597,151
598,474
599,150
600,93
601,587
602,496
603,406
604,622
605,60
606,242
607,670
608,565
609,283
610,135
611,495
